Participant	LTDiff	Shift	X	PD
2	0.20000000	0.16666667	1023.7159	-0.14199697
3	5.0138889	0.50000000	1084.9879	-0.16804833
4	4.0666667	0.50000000	1052.4363	-0.06003056
5	4.5222222	0.66666667	1064.2579	-0.12619667
6	4.4222222	0.25000000	1109.2678	-0.00609804
7	4.7722222	0.75000000	1082.3704	-0.11443381
8	11.125000	0.33333333	1160.9138	-0.21398026
9	1.8305556	0.33333333	1082.4131	-0.07173491
10	10.350000	0.16666667	1072.6705	-0.19864704
11	2.9777778	0.40000000	1056.4431	-0.05582300
12	-2.9250000	0.66666667	1071.9617	-0.16891407
13	5.7194444	0.40000000	1102.8662	-0.10584818
14	1.7250000	0.33333333	1073.9211	-0.16620189
15	8.3611111	0.50000000	1010.1665	-0.26156619
16	2.7083333	1	1173.8824	-0.31832667
17	14.750000	0.75000000	1155.3652	-0.20529171
18	-3.1277778	0.80000000	1168.8054	0.04075380
19	2.7888889	0.25000000	1064.5612	-0.04624500
20	6.5416667	0.50000000	1138.9227	-0.09385222
21	9.1750000	0.20000000	1041.9247	-0.04743156
22	8.0083333	0.66666667	1101.2391	0.05753711
23	4.0833333	0	1082.9556	-0.12018417
24	1.3555556	0.33333333	983.92157	-0.21488796
