Participant	LTDiff	Shift	X	PD
1	5.2916667	0	1180.8788	-0.09892328
2	2.0250000	0	948.50000	0.14585073
3	-0.15000000	0.25000000	1138.9545	0.05949802
5	-2.3250000	0.25000000	1030.5662	-0.10685159
6	-0.52500000	0	1031.1667	0.10732589
7	0.33333333	1	1156.2576	-0.02542063
9	5.7416667	1	1093.3636	0.02067817
10	0.29166667	1	1040.5325	0.01589683
11	-0.72500000	0	958.95455	-0.01836842
12	-0.50000000	0.75000000	1115.0682	0.02513492
13	1.6833333	0.75000000	1184.4432	-0.00812698
14	2.7500000	1	963.90909	-0.04746627
15	5.5333333	0	1026.7424	0.08178276
16	-2.0416667	0.66666667	1144.7576	-0.00080688
18	-0.85833333	0.25000000	1100.4034	-0.12381723
19	-3.9666667	1	1110.6420	-0.03292751
20	1.9583333	1	966.29545	0.04015308
21	1.9833333	0.50000000	1023.8280	-0.04308730
22	7.6416667	1	983.31818	-0.06260317
23	-1.6750000	1	982.68182	-0.05402063
24	1.1416667	0	985.64706	-0.17623392
