Participant	Trial	Outcome	Couple	Distance	LookingTime
1	2	P	C2	S	4.9833333
1	3	P	C1	S	6.4666667
1	4	I	C2	D	11.016667
2	1	I	C2	S	3.9833333
2	2	P	C1	D	1.1333333
2	3	P	C2	D	3.5333333
2	4	I	C1	S	4.7333333
3	1	P	C2	S	10.416667
3	2	I	C1	D	8.6333333
3	3	I	C2	D	4.6500000
3	4	P	C1	S	3.1666667
4	1	P	C1	S	5.2833333
4	2	I	C2	D	7.7333333
4	4	P	C2	S	2.0166667
5	1	I	C1	S	7.4000000
5	2	P	C2	D	11.100000
5	3	P	C1	D	7.9666667
5	4	I	C2	S	7.0166667
6	1	I	C2	D	7.8500000
6	2	P	C1	S	8.6500000
6	4	I	C1	D	8.4000000
7	1	I	C2	D	2.7833333
7	2	P	C1	S	3.7000000
7	3	P	C2	S	1.2000000
8	1	I	C2	S	4.1833333
8	2	P	C1	D	1.2166667
9	1	P	C2	D	10.766667
9	3	I	C2	S	13.783333
9	4	P	C1	D	5.3166667
10	1	P	C2	S	5.4166667
10	2	I	C1	D	3.4166667
10	3	I	C2	D	5.3333333
10	4	P	C1	S	2.7500000
11	2	I	C1	D	2.7500000
11	3	I	C2	D	3.6333333
11	4	P	C1	S	3.9166667
12	1	P	C2	D	3.6666667
12	2	I	C1	S	2.5000000
12	3	I	C2	S	2.3166667
12	4	P	C1	D	2.1500000
13	1	P	C1	D	8.2833333
13	2	I	C2	S	8.7833333
13	3	I	C1	S	7.9833333
13	4	P	C2	D	5.1166667
14	1	P	C1	S	8.4000000
14	2	I	C2	D	5.7500000
14	3	I	C1	D	11.083333
14	4	P	C2	S	2.9333333
15	1	P	C2	S	2.4500000
15	2	I	C1	D	7.9833333
16	1	P	C1	D	8.8166667
16	2	I	C2	S	11.683333
16	3	I	C1	S	1.8666667
17	1	I	C2	D	2.2166667
17	2	P	C1	S	1.8166667
18	1	P	C1	D	7.3500000
18	2	I	C2	S	8.3666667
18	3	I	C1	S	5
18	4	P	C2	D	7.7333333
19	2	P	C1	S	10.066667
19	3	P	C2	S	3.9333333
19	4	I	C1	D	3.0333333
20	1	I	C1	S	8.2333333
20	2	P	C2	D	2.4000000
20	3	P	C1	D	10.150000
21	3	I	C2	S	5.5166667
21	4	P	C1	D	3.5333333
22	1	I	C2	S	5.8666667
22	2	P	C1	D	1.7666667
22	4	I	C1	S	12.950000
23	1	I	C1	S	3.3666667
23	2	P	C2	D	3.9833333
23	4	I	C2	S	1.2500000
24	1	I	C1	D	5.0833333
24	2	P	C2	S	1.9500000
24	3	P	C1	S	3.8333333
24	4	I	C2	D	2.9833333
