Participant	Trial	Outcome	Couple	Distance	LookingTime
1	1	P	C1	s	6.5600000
1	2	I	C2	s	7.9200000
1	3	I	C3	s	4.1200000
1	4	P	C1	s	11.560000
1	5	P	C2	s	5.7600000
1	6	I	C3	s	8.5600000
2	1	I	C1	d	7.6000000
2	3	P	C3	d	13.000000
2	6	P	C3	d	17.600000
3	1	I	C3	d	8.6400000
3	2	P	C1	d	7.2400000
3	3	P	C2	d	2.1200000
3	4	I	C3	d	11.520000
3	5	I	C1	d	7.1200000
3	6	P	C2	d	2.2000000
4	2	P	C3	d	17.760000
4	3	P	C1	d	11.760000
4	5	I	C3	d	7.0800000
4	6	P	C1	d	3.2800000
5	2	P	C3	s	17.160000
5	3	P	C1	s	4.9600000
5	4	I	C2	s	9.1200000
5	5	I	C3	s	6.5600000
5	6	P	C1	s	5.2000000
6	2	I	C3	s	20.240000
6	3	I	C1	s	9.2800000
6	4	P	C2	s	5.7600000
6	5	P	C3	s	4.6800000
6	6	I	C1	s	9.6800000
7	1	P	C2	d	13.440000
7	2	I	C3	d	23.760000
7	3	I	C1	d	12.120000
7	4	P	C2	d	15.960000
7	5	P	C3	d	10.520000
7	6	I	C1	d	4.8000000
8	1	I	C3	d	4.7200000
8	2	P	C1	d	4.5200000
8	4	I	C3	d	24
8	5	I	C1	d	4.2000000
8	6	P	C2	d	7.9600000
9	1	I	C3	s	9.9600000
9	2	P	C1	s	9.2400000
9	3	P	C2	s	14.960000
9	4	I	C3	s	7.8800000
9	5	I	C1	s	9.7200000
9	6	P	C2	s	7.0400000
10	2	I	C2	s	7.9200000
10	3	I	C3	s	22.560000
10	5	P	C2	s	3.6000000
11	1	P	C2	s	3.4000000
11	2	I	C3	s	4.6400000
11	3	I	C1	s	3.3600000
11	4	P	C2	s	2.3600000
11	5	P	C3	s	1.9200000
11	6	I	C1	s	15.280000
12	1	I	C2	s	4.1600000
12	2	P	C3	s	5.8400000
12	3	P	C1	s	5.8000000
12	4	I	C2	s	16.520000
12	5	I	C3	s	10.920000
13	1	P	C2	d	8.4800000
13	2	I	C3	d	21.240000
13	3	I	C1	d	16.760000
13	4	P	C2	d	2.5600000
13	5	P	C3	d	6.2800000
14	1	P	C1	d	18.040000
14	2	I	C2	d	3.3200000
14	3	I	C3	d	10.240000
14	4	P	C1	d	6.9200000
14	5	P	C2	d	4.7600000
14	6	I	C3	d	5.2000000
15	1	I	C2	d	4.3600000
15	2	P	C3	d	3.2400000
15	3	P	C1	d	4.2800000
15	4	I	C2	d	3.4800000
15	5	I	C3	d	5.0400000
15	6	P	C1	d	3.6400000
16	4	I	C3	d	25.200000
16	5	I	C1	d	10.920000
16	6	P	C2	d	3.2800000
17	1	I	C3	s	13.400000
17	2	P	C1	s	5
17	3	P	C2	s	9.8000000
17	4	I	C3	s	24.760000
17	5	I	C1	s	24
17	6	P	C2	s	12.880000
18	1	P	C3	s	2.8400000
18	2	I	C1	s	4.7200000
18	3	I	C2	s	2.4400000
18	4	P	C3	s	4.2000000
18	6	I	C2	s	6.3200000
19	1	P	C3	d	17.400000
19	2	I	C1	d	13.120000
19	3	I	C2	d	10.160000
19	4	P	C3	d	3.6000000
19	5	P	C1	d	2.4800000
20	1	P	C1	d	17.880000
20	2	I	C2	d	12.720000
20	3	I	C3	d	10.080000
20	4	P	C1	d	3.6400000
20	5	P	C2	d	3
20	6	I	C3	d	7.4800000
21	1	I	C1	s	11.760000
21	2	P	C2	s	5.1600000
21	3	P	C3	s	5.2800000
21	4	I	C1	s	2.8000000
21	5	I	C2	s	5.0400000
21	6	P	C3	s	3.8800000
22	2	P	C2	s	17.040000
22	4	I	C1	d	22.320000
22	5	I	C2	d	8.7200000
23	1	P	C3	d	9
23	2	I	C1	s	7.5600000
23	3	I	C2	s	6.9600000
23	4	P	C3	d	2.2400000
23	5	P	C1	d	13.360000
23	6	I	C2	s	4.1600000
24	1	P	C3	s	13.038000
24	2	I	C1	d	15.526000
24	3	I	C2	d	8.4800000
24	4	P	C3	s	8.9600000
24	5	P	C1	s	4.2800000
24	6	I	C2	d	7.2400000
