Participant	Trial	Outcome	Couple	Distance	LookingTime
1	2	I	C2	S	12.533333
1	3	I	C1	S	4.6500000
1	4	P	C2	D	6.0333333
2	2	P	C1	S	2.7666667
2	3	P	C2	S	4.1666667
2	4	I	C1	D	5.2000000
3	1	P	C2	D	3.6666667
3	2	I	C1	S	4.5666667
3	3	I	C2	S	3.5333333
3	4	P	C1	D	4
4	1	P	C2	S	7.8333333
4	2	I	C1	D	9
4	3	I	C2	D	2.3000000
4	4	P	C1	S	8.6833333
5	1	P	C2	D	3.3000000
5	2	I	C1	S	3.4666667
6	1	P	C1	S	4.6000000
6	2	I	C2	D	5.4166667
6	3	I	C1	D	5.0666667
6	4	P	C2	S	4.3000000
7	2	I	C2	S	8.9000000
7	3	I	C1	S	6.6500000
7	4	P	C2	D	4.6333333
8	1	I	C1	S	12.133333
8	2	P	C2	D	4.4500000
8	3	P	C1	D	8.7833333
8	4	I	C2	S	6.8333333
9	1	I	C1	D	8.2166667
9	2	P	C2	S	4.6000000
9	3	P	C1	S	2.9333333
10	1	I	C1	S	3.0666667
10	2	P	C2	D	4.8500000
10	4	I	C2	S	3.9666667
11	1	P	C1	S	5.1000000
11	2	I	C2	D	4.9833333
12	1	I	C2	D	12.666667
12	3	P	C2	S	2.3166667
12	4	I	C1	D	5.9333333
13	1	I	C2	S	12.816667
13	2	P	C1	D	2.8833333
13	3	P	C2	D	5.0166667
13	4	I	C1	S	6.3500000
14	1	P	C2	D	2.1500000
14	2	I	C1	S	1.6500000
14	3	I	C2	S	2.0666667
14	4	P	C1	D	2.9333333
15	1	I	C2	D	12.450000
15	2	P	C1	S	4.3666667
15	4	I	C1	D	1.0333333
16	2	I	C2	S	4.8833333
16	4	P	C2	D	4.4500000
17	2	I	C2	D	5.5333333
17	3	I	C1	D	3.3333333
17	4	P	C2	S	5.8333333
18	1	I	C1	D	9.1500000
18	3	P	C1	S	8
18	4	I	C2	D	4.6500000
19	1	I	C1	S	8.9333333
19	2	P	C2	D	3.3666667
19	3	P	C1	D	3
19	4	I	C2	S	4.3000000
20	1	I	C2	S	4.3666667
20	3	P	C2	D	2.2166667
21	2	P	C1	D	2.6500000
21	3	P	C2	D	4.5833333
21	4	I	C1	S	5.2500000
22	1	I	C2	S	5.0333333
22	2	P	C1	D	1.1833333
23	1	I	C1	D	2.7833333
23	2	P	C2	S	2.3333333
24	1	P	C2	S	4.1833333
24	3	I	C2	D	11.516667
24	4	P	C1	S	3.0166667
