Participant	Trial	Outcome	Couple	Distance	LookingTime
1	1	I	C1	S	3.1833333
1	2	P	C2	D	9.2500000
1	3	P	C3	D	4.0500000
1	4	I	C2	S	9.4666667
1	5	I	C3	S	3.6333333
2	4	P	C2	S	9.2000000
2	5	P	C3	S	4.7166667
2	6	I	C1	D	9.2666667
3	1	I	C2	D	8.4166667
3	2	P	C3	S	4.0833333
3	3	P	C1	S	1.6166667
3	4	I	C3	D	3.9333333
4	1	I	C3	D	5.8666667
4	2	P	C1	S	5.7500000
4	5	I	C2	D	1.9500000
5	2	P	C1	D	5.9500000
5	3	P	C2	D	4.2000000
5	4	I	C1	S	5.6500000
5	5	I	C2	S	3.7333333
5	6	P	C3	D	1.7000000
6	2	I	C1	S	4.7666667
6	3	I	C2	S	3.5833333
6	5	P	C2	D	6
6	6	I	C3	S	11.600000
7	1	I	C1	D	7.3000000
7	3	P	C2	S	3.7500000
7	4	I	C3	D	3.6833333
8	1	I	C1	S	4.5666667
8	2	P	C3	D	6.1166667
8	3	P	C2	D	1.2666667
8	4	I	C3	S	4.4166667
8	5	I	C2	S	2.4333333
8	6	P	C1	D	1.2666667
9	1	P	C1	D	5.2666667
9	2	I	C2	S	5.0333333
9	3	I	C3	S	11.083333
9	4	P	C2	D	3.4333333
9	5	P	C3	D	3.6833333
10	1	P	C2	S	1.3166667
10	2	I	C3	D	4.9833333
10	3	I	C1	D	10.850000
10	4	P	C3	S	4.1000000
10	5	P	C1	S	1.8166667
10	6	I	C2	D	4.2166667
11	1	P	C1	D	7.9166667
11	2	I	C3	S	7.4666667
11	3	I	C2	S	11
11	4	P	C3	D	8.0666667
11	5	P	C2	D	6.8333333
12	1	P	C1	S	6.1166667
12	2	I	C3	D	4.2166667
12	3	I	C2	D	2.4833333
12	4	P	C3	S	4.6166667
12	5	P	C2	S	5.0666667
12	6	I	C1	D	1.1500000
13	1	I	C2	S	6.1166667
13	2	P	C1	D	5.3166667
13	3	P	C3	D	10.650000
13	4	I	C1	S	4.5333333
13	5	I	C3	S	5.7500000
13	6	P	C2	D	2.7166667
14	3	I	C3	S	5.4166667
14	4	P	C1	D	5.5666667
14	5	P	C3	D	2.7000000
14	6	I	C2	S	3.9833333
15	1	P	C2	S	9.8833333
15	2	I	C1	D	13.833333
15	3	I	C3	D	7.2666667
15	4	P	C1	S	2.3166667
15	6	I	C2	D	5.5500000
16	1	I	C1	D	3.0166667
16	2	P	C2	S	3.4166667
16	4	I	C2	D	2.8500000
16	5	I	C3	D	1.5000000
16	6	P	C1	S	1.1333333
17	1	I	C2	S	9.2166667
17	2	P	C3	D	6.7500000
17	3	P	C1	D	2.7500000
18	1	P	C3	S	10.216667
18	2	I	C1	D	3.1166667
18	3	I	C2	D	1.7000000
18	4	P	C1	S	3.0333333
18	5	P	C2	S	2.5166667
18	6	I	C3	D	1.4333333
19	2	P	C1	S	8.1166667
19	3	P	C3	S	1.8000000
19	4	I	C1	D	9.0333333
19	5	I	C3	D	5.2500000
19	6	P	C2	S	10.683333
20	1	I	C2	S	2.8500000
20	2	P	C1	D	1.5666667
20	3	P	C3	D	2.3000000
21	1	P	C2	D	8.0333333
21	2	I	C1	S	12.016667
21	3	I	C3	S	7.1833333
21	4	P	C1	D	2.1166667
21	5	P	C3	D	2.8500000
21	6	I	C2	S	4.2166667
22	1	P	C2	D	12.750000
22	2	I	C3	S	8.5000000
22	3	I	C1	S	11.916667
22	4	P	C3	D	4.5833333
22	5	P	C1	D	5.7666667
22	6	I	C2	S	10.183333
23	1	I	C3	D	11.416667
23	2	P	C2	S	8.1666667
23	3	P	C1	S	2.5833333
23	4	I	C2	D	6.5833333
23	5	I	C1	D	8.9333333
23	6	P	C3	S	6.5666667
24	2	P	C2	D	7.3500000
24	3	P	C1	D	5.4000000
24	4	I	C2	S	9.8666667
24	5	I	C1	S	3.9333333
24	6	P	C3	D	1.9666667
