Participant	Trial	Outcome	Couple	Distance	LookingTime
1	1	I	C1	S	15.616667
1	2	P	C1	D	5.1500000
1	3	I	C2	S	5.3666667
1	4	P	C2	D	3.6333333
2	1	P	C1	D	2.9833333
2	2	I	C1	S	2.2666667
2	3	P	C2	D	2.3500000
2	4	I	C2	S	9.7166667
3	1	P	C2	D	5.3666667
3	2	I	C2	S	4.3500000
3	3	P	C1	D	7.4833333
3	4	I	C1	S	2.8166667
4	1	I	C1	D	6.0500000
4	2	P	C1	S	3.0833333
4	3	I	C2	D	3.8833333
4	4	P	C2	S	2.2000000
5	1	I	C2	D	13.466667
5	2	P	C2	S	10.933333
5	3	I	C1	D	8.9833333
5	4	P	C1	S	4.4000000
6	1	I	C2	D	16.750000
6	2	P	C2	S	8.2500000
6	3	I	C1	D	10.483333
7	2	P	C1	S	10.900000
7	3	I	C2	D	4.9833333
7	4	P	C2	S	3.4500000
8	1	P	C2	D	12.916667
8	2	I	C2	S	7.5666667
8	3	P	C1	D	6.4166667
8	4	I	C1	S	4.7666667
9	1	I	C2	S	5.7166667
9	2	P	C2	D	13.500000
9	3	I	C1	S	1.6500000
9	4	P	C1	D	3.9833333
10	1	P	C2	S	6.2666667
10	2	I	C2	D	5.7166667
10	4	I	C1	D	13.016667
11	2	I	C1	D	18.083333
11	3	P	C2	S	8.4833333
11	4	I	C2	D	5.0666667
12	1	I	C2	S	4.6000000
12	2	P	C2	D	5.6833333
12	3	I	C1	S	3.2166667
12	4	P	C1	D	2.6333333
13	1	I	C1	D	5.0666667
13	2	P	C1	S	2.9500000
13	4	P	C2	S	1.5666667
14	1	I	C2	D	4.1500000
14	2	P	C2	S	4.7500000
14	3	I	C1	D	10.133333
15	3	P	C1	D	10.266667
15	4	I	C1	S	11.416667
16	1	P	C1	S	8.9666667
16	2	I	C1	D	11.233333
16	3	P	C2	S	4.1833333
17	1	I	C1	S	10.316667
17	2	P	C1	D	7.2500000
17	3	I	C2	S	6.7333333
17	4	P	C2	D	2.8833333
18	1	I	C2	S	10.116667
18	2	P	C2	D	10.050000
18	3	I	C1	S	3.9666667
18	4	P	C1	D	3.6666667
19	2	I	C1	D	6.2000000
19	3	P	C2	S	3.7333333
20	1	P	C2	S	14.266667
20	2	I	C2	D	7.6166667
20	3	P	C1	S	8.1166667
20	4	I	C1	D	7.2500000
21	1	P	C1	D	5.7166667
21	2	I	C1	S	6.9166667
21	3	P	C2	D	4.1166667
22	1	I	C1	S	10.733333
22	2	P	C1	D	6.5833333
22	3	I	C2	S	1.6166667
22	4	P	C2	D	3.8333333
23	1	P	C2	S	3.1000000
23	2	I	C2	D	4.6333333
23	4	I	C1	D	4.3333333
24	1	P	C1	D	12.100000
24	2	I	C1	S	10.900000
24	3	P	C2	D	7.3666667
24	4	I	C2	S	13
