Participant	Trial	Bin	MovieID	Experiment	X	PD
1	1	0	T7IC1STTSS	19-Inf	1332	0.11738889
1	1	1	T7IC1STTSS	19-Inf	1343	0.10238889
1	1	2	T7IC1STTSS	19-Inf	1334	0.08338889
1	1	3	T7IC1STTSS	19-Inf	1343	0.07538889
1	1	4	T7IC1STTSS	19-Inf	1336	0.07438889
1	1	5	T7IC1STTSS	19-Inf	1338	0.04938889
1	1	6	T7IC1STTSS	19-Inf	1349	0.02938889
1	1	7	T7IC1STTSS	19-Inf	1334	0.01238889
1	1	8	T7IC1STTSS	19-Inf	1339	0.01038889
1	1	9	T7IC1STTSS	19-Inf	1340	0.01338889
1	1	10	T7IC1STTSS	19-Inf	1344	-0.01361111
1	1	11	T7IC1STTSS	19-Inf	1192	0.29738889
1	1	12	T7IC1STTSS	19-Inf	1203	0.13738889
1	1	13	T7IC1STTSS	19-Inf	1230	0.01338889
1	1	14	T7IC1STTSS	19-Inf	1217	-0.01161111
1	1	15	T7IC1STTSS	19-Inf	1240	-0.01561111
1	1	16	T7IC1STTSS	19-Inf	1259	0.01238889
1	1	17	T7IC1STTSS	19-Inf	1119	0.51838889
1	1	18	T7IC1STTSS	19-Inf	1153	0.26538889
1	1	19	T7IC1STTSS	19-Inf	1237	-0.01961111
1	1	20	T7IC1STTSS	19-Inf	1246	-0.00861111
1	1	21	T7IC1STTSS	19-Inf	1224	-0.00261111
1	1	22	T7IC1STTSS	19-Inf	1244	-0.00561111
1	1	23	T7IC1STTSS	19-Inf	1227	-0.00061111
1	1	24	T7IC1STTSS	19-Inf	1249	0.00238889
1	1	25	T7IC1STTSS	19-Inf	1224	0.00338889
1	1	26	T7IC1STTSS	19-Inf	1247	0.00638889
1	1	27	T7IC1STTSS	19-Inf	1218	-0.00261111
1	1	28	T7IC1STTSS	19-Inf	1247	0.01038889
1	1	29	T7IC1STTSS	19-Inf	1224	0.01738889
1	1	30	T7IC1STTSS	19-Inf	1233	0.00138889
1	1	31	T7IC1STTSS	19-Inf	1247	0.00438889
1	1	32	T7IC1STTSS	19-Inf	1231	-0.00361111
1	1	33	T7IC1STTSS	19-Inf	1228	0.00938889
1	1	34	T7IC1STTSS	19-Inf	1221	0.00138889
1	1	35	T7IC1STTSS	19-Inf	1199	0.00238889
1	1	36	T7IC1STTSS	19-Inf	1218	-0.00561111
1	1	37	T7IC1STTSS	19-Inf	1204	-0.00461111
1	1	38	T7IC1STTSS	19-Inf	1219	-0.02061111
1	1	39	T7IC1STTSS	19-Inf	1210	-0.01561111
1	1	40	T7IC1STTSS	19-Inf	1211	-0.01061111
1	1	41	T7IC1STTSS	19-Inf	1211	-0.01261111
1	1	42	T7IC1STTSS	19-Inf	1210	-0.01861111
1	1	43	T7IC1STTSS	19-Inf	1228	-0.02461111
1	1	44	T7IC1STTSS	19-Inf	1212	-0.02061111
1	1	45	T7IC1STTSS	19-Inf	1215	-0.03561111
1	1	46	T7IC1STTSS	19-Inf	1210	-0.03661111
1	1	47	T7IC1STTSS	19-Inf	1209	-0.05061111
