Participant	Trial	Bin	MovieID	Experiment	X	PD
1	1	0	T16IC1SPSPD	12-NoInf	1338	0.05594444
1	1	1	T16IC1SPSPD	12-NoInf	1335	0.05394444
1	1	2	T16IC1SPSPD	12-NoInf	1340	0.06294444
1	1	3	T16IC1SPSPD	12-NoInf	1340	0.07094444
1	1	4	T16IC1SPSPD	12-NoInf	1332	0.07294444
1	1	5	T16IC1SPSPD	12-NoInf	1341	0.06594444
1	1	6	T16IC1SPSPD	12-NoInf	1332	0.07894444
1	1	7	T16IC1SPSPD	12-NoInf	1334	0.09194444
1	1	8	T16IC1SPSPD	12-NoInf	1338	0.12194444
1	1	9	T16IC1SPSPD	12-NoInf	1339	0.10294444
1	1	10	T16IC1SPSPD	12-NoInf	1336	0.10694444
1	1	11	T16IC1SPSPD	12-NoInf	1337	0.12194444
1	1	12	T16IC1SPSPD	12-NoInf	1330	0.08094444
1	1	13	T16IC1SPSPD	12-NoInf	1335	0.09094444
1	1	14	T16IC1SPSPD	12-NoInf	1338	0.08994444
1	1	15	T16IC1SPSPD	12-NoInf	1336	0.08894444
1	1	16	T16IC1SPSPD	12-NoInf	1333	0.06694444
1	1	17	T16IC1SPSPD	12-NoInf	1336	0.04394444
1	1	18	T16IC1SPSPD	12-NoInf	1252	0.04694444
1	1	19	T16IC1SPSPD	12-NoInf	992	0.05694444
1	1	20	T16IC1SPSPD	12-NoInf	1022	0.01694444
1	1	21	T16IC1SPSPD	12-NoInf	962	0.01294444
1	1	22	T16IC1SPSPD	12-NoInf	991	-0.02105556
1	1	23	T16IC1SPSPD	12-NoInf	982	-0.02005556
1	1	24	T16IC1SPSPD	12-NoInf	990	-0.03705556
1	1	25	T16IC1SPSPD	12-NoInf	995	-0.05305556
1	1	26	T16IC1SPSPD	12-NoInf	995	-0.03005556
1	1	27	T16IC1SPSPD	12-NoInf	992	-0.03205556
1	1	28	T16IC1SPSPD	12-NoInf	991	-0.05405556
1	1	29	T16IC1SPSPD	12-NoInf	995	-0.03805556
1	1	30	T16IC1SPSPD	12-NoInf	1000	-0.01105556
1	1	31	T16IC1SPSPD	12-NoInf	1002	-0.01905556
1	1	32	T16IC1SPSPD	12-NoInf	1003	-0.01805556
1	1	33	T16IC1SPSPD	12-NoInf	1001	-0.01605556
1	1	34	T16IC1SPSPD	12-NoInf	1007	-0.03005556
1	1	35	T16IC1SPSPD	12-NoInf	1012	-0.01905556
1	1	36	T16IC1SPSPD	12-NoInf	1006	-0.04905556
1	1	37	T16IC1SPSPD	12-NoInf	1017	0.00594444
1	1	38	T16IC1SPSPD	12-NoInf	1020	-0.02605556
1	1	39	T16IC1SPSPD	12-NoInf	1025	-0.03805556
1	1	40	T16IC1SPSPD	12-NoInf	1024	-0.00305556
1	1	41	T16IC1SPSPD	12-NoInf	1110	-0.02905556
1	1	42	T16IC1SPSPD	12-NoInf	1058	-0.07305556
1	1	43	T16IC1SPSPD	12-NoInf	1084	-0.07805556
1	1	44	T16IC1SPSPD	12-NoInf	1079	-0.06405556
1	1	45	T16IC1SPSPD	12-NoInf	1087	-0.09005556
1	1	46	T16IC1SPSPD	12-NoInf	1081	-0.08405556
1	1	47	T16IC1SPSPD	12-NoInf	1082	-0.08705556
1	1	48	T16IC1SPSPD	12-NoInf	1088	-0.09705556
1	1	49	T16IC1SPSPD	12-NoInf	1085	-0.10305556
1	1	50	T16IC1SPSPD	12-NoInf	1090	-0.12005556
1	1	51	T16IC1SPSPD	12-NoInf	1090	-0.10905556
1	1	52	T16IC1SPSPD	12-NoInf	1096	-0.09005556
1	1	53	T16IC1SPSPD	12-NoInf	1104	-0.08805556
1	1	54	T16IC1SPSPD	12-NoInf	1097	-0.13305556
1	1	55	T16IC1SPSPD	12-NoInf	1099	-0.09705556
1	1	56	T16IC1SPSPD	12-NoInf	1092	-0.15805556
1	1	57	T16IC1SPSPD	12-NoInf	1098	-0.10205556
1	1	58	T16IC1SPSPD	12-NoInf	1097	-0.13005556
1	1	59	T16IC1SPSPD	12-NoInf	1090	-0.13505556
1	1	60	T16IC1SPSPD	12-NoInf	1105	-0.10105556
1	1	61	T16IC1SPSPD	12-NoInf	1097	-0.14405556
1	1	62	T16IC1SPSPD	12-NoInf	1085	-0.15705556
1	1	63	T16IC1SPSPD	12-NoInf	1094	-0.17805556
1	1	64	T16IC1SPSPD	12-NoInf	1091	-0.16305556
1	1	65	T16IC1SPSPD	12-NoInf	1088	-0.17105556
1	1	66	T16IC1SPSPD	12-NoInf	1093	-0.18805556
1	1	67	T16IC1SPSPD	12-NoInf	1090	-0.17305556
1	1	68	T16IC1SPSPD	12-NoInf	1091	-0.13905556
1	1	69	T16IC1SPSPD	12-NoInf	1093	-0.16305556
1	1	70	T16IC1SPSPD	12-NoInf	1096	-0.18105556
1	1	71	T16IC1SPSPD	12-NoInf	1091	-0.15405556
1	1	72	T16IC1SPSPD	12-NoInf	1091	-0.15305556
1	1	73	T16IC1SPSPD	12-NoInf	1100	-0.16805556
1	1	74	T16IC1SPSPD	12-NoInf	1091	-0.15805556
1	1	75	T16IC1SPSPD	12-NoInf	1103	-0.15005556
1	1	76	T16IC1SPSPD	12-NoInf	1108	-0.08405556
1	1	77	T16IC1SPSPD	12-NoInf	1105	-0.11805556
1	1	78	T16IC1SPSPD	12-NoInf	1104	-0.10205556
1	1	79	T16IC1SPSPD	12-NoInf	1106	-0.08205556
1	1	80	T16IC1SPSPD	12-NoInf	1107	-0.07505556
1	1	81	T16IC1SPSPD	12-NoInf	1102	-0.07605556
1	1	82	T16IC1SPSPD	12-NoInf	1103	-0.08405556
1	1	83	T16IC1SPSPD	12-NoInf	1106	-0.06305556
1	1	84	T16IC1SPSPD	12-NoInf	1101	-0.06205556
1	1	85	T16IC1SPSPD	12-NoInf	1107	-0.06305556
1	1	86	T16IC1SPSPD	12-NoInf	1099	-0.06005556
1	1	87	T16IC1SPSPD	12-NoInf	1103	-0.02505556
1	1	88	T16IC1SPSPD	12-NoInf	1103	-0.03205556
1	1	89	T16IC1SPSPD	12-NoInf	1106	-0.03905556
1	1	90	T16IC1SPSPD	12-NoInf	1107	-0.04105556
1	1	91	T16IC1SPSPD	12-NoInf	1101	-0.03705556
1	1	92	T16IC1SPSPD	12-NoInf	1099	-0.04405556
1	1	93	T16IC1SPSPD	12-NoInf	1102	-0.03505556
1	1	94	T16IC1SPSPD	12-NoInf	1095	-0.04105556
1	1	95	T16IC1SPSPD	12-NoInf	1098	-0.05305556
1	1	96	T16IC1SPSPD	12-NoInf	1092	-0.07305556
1	1	97	T16IC1SPSPD	12-NoInf	1096	-0.07205556
1	1	98	T16IC1SPSPD	12-NoInf	1090	-0.07905556
1	1	99	T16IC1SPSPD	12-NoInf	1095	-0.07305556
1	1	100	T16IC1SPSPD	12-NoInf	1095	-0.06405556
1	1	101	T16IC1SPSPD	12-NoInf	1086	-0.07105556
1	1	102	T16IC1SPSPD	12-NoInf	1090	-0.08805556
1	1	103	T16IC1SPSPD	12-NoInf	1085	-0.12005556
1	1	104	T16IC1SPSPD	12-NoInf	1080	-0.10505556
1	1	105	T16IC1SPSPD	12-NoInf	1085	-0.10905556
1	1	106	T16IC1SPSPD	12-NoInf	1019	-0.12605556
1	1	107	T16IC1SPSPD	12-NoInf	1035	-0.11405556
1	1	108	T16IC1SPSPD	12-NoInf	1018	-0.12405556
1	1	109	T16IC1SPSPD	12-NoInf	1020	-0.11505556
1	1	110	T16IC1SPSPD	12-NoInf	1020	-0.12905556
1	1	111	T16IC1SPSPD	12-NoInf	1015	-0.11905556
1	1	112	T16IC1SPSPD	12-NoInf	1012	-0.12305556
1	1	113	T16IC1SPSPD	12-NoInf	1015	-0.10905556
1	1	114	T16IC1SPSPD	12-NoInf	1007	-0.11805556
1	1	115	T16IC1SPSPD	12-NoInf	1009	-0.10805556
