Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	MeanPupil
1	ObjOut	5	65_T_R_M_I_SP_S_S_S	1	1	0.134346
1	ObjOut	5	67_T_R_M_P_SP_P_S_S	1	1	0.010533
1	ObjOut	5	68_T_R_M_I_SP_P_P_D	1	1	0.024903
1	ObjOut	5	69_T_R_M_P_PS_S_P_S	1	1	0.019387
1	ObjOut	5	70_T_R_M_I_PS_S_S_D	1	1	0.010645
1	ObjOut	5	71_T_R_M_P_PS_P_S_D	1	1	0.000667
1	ObjOut	5	72_T_R_M_I_PS_P_P_S	1	1	0.015935
1	ObjOut	5	81_T_R_M_P_OB_B_O_S	1	1	0.089839
1	ObjOut	5	82_T_R_M_I_OB_B_B_D	1	1	-0.018903
1	ObjOut	5	83_T_R_M_P_BO_O_B_S	1	1	-0.015903
1	ObjOut	5	85_T_R_M_I_OB_O_O_S	1	1	0.014387
1	ObjOut	5	86_T_R_M_P_OB_O_B_D	1	1	0.030387
1	ObjOut	5	87_T_R_M_I_BO_B_B_S	1	1	0.021290
1	ObjOut	5	88_T_R_M_P_BO_B_O_D	1	1	0.023742
1	ObjOut	6	49_C_R_M_I_SO_S_B_S	0	1	0.013806
1	ObjOut	6	50_C_R_M_P_SO_S_O_D	0	1	0.091032
1	ObjOut	6	53_C_R_M_P_OS_S_O_S	0	1	0.004935
1	ObjOut	6	56_C_R_M_I_OS_O_P_S	0	1	0.039452
1	ObjOut	6	58_C_R_M_P_BP_B_P_D	0	1	0.098806
1	ObjOut	6	59_C_R_M_P_BP_P_B_S	0	1	0.076000
1	ObjOut	6	60_C_R_M_I_BP_P_O_D	0	1	0.008500
1	ObjOut	6	61_C_R_M_P_PB_B_P_S	0	1	0.044968
1	ObjOut	6	62_C_R_M_I_PB_B_S_D	0	1	0.044591
1	ObjOut	6	63_C_R_M_P_PB_P_B_D	0	1	0.029387
1	ObjOut	6	65_T_R_M_I_SP_S_S_S	1	1	0.035346
1	ObjOut	6	67_T_R_M_P_SP_P_S_S	1	1	0.034533
1	ObjOut	6	68_T_R_M_I_SP_P_P_D	1	1	0.023903
1	ObjOut	6	69_T_R_M_P_PS_S_P_S	1	1	0.023387
1	ObjOut	6	70_T_R_M_I_PS_S_S_D	1	1	0.004645
1	ObjOut	6	71_T_R_M_P_PS_P_S_D	1	1	-0.016333
1	ObjOut	6	72_T_R_M_I_PS_P_P_S	1	1	0.016935
1	ObjOut	6	81_T_R_M_P_OB_B_O_S	1	1	0.074839
1	ObjOut	6	82_T_R_M_I_OB_B_B_D	1	1	-0.000903
1	ObjOut	6	83_T_R_M_P_BO_O_B_S	1	1	-0.004903
1	ObjOut	6	85_T_R_M_I_OB_O_O_S	1	1	0.000387
1	ObjOut	6	86_T_R_M_P_OB_O_B_D	1	1	0.025387
1	ObjOut	6	87_T_R_M_I_BO_B_B_S	1	1	0.018290
1	ObjOut	6	88_T_R_M_P_BO_B_O_D	1	1	0.042742
1	ObjOut	7	49_C_R_M_I_SO_S_B_S	0	1	0.001806
1	ObjOut	7	50_C_R_M_P_SO_S_O_D	0	1	0.076032
1	ObjOut	7	53_C_R_M_P_OS_S_O_S	0	1	-0.005065
1	ObjOut	7	56_C_R_M_I_OS_O_P_S	0	1	0.043452
1	ObjOut	7	58_C_R_M_P_BP_B_P_D	0	1	0.117806
1	ObjOut	7	59_C_R_M_P_BP_P_B_S	0	1	0.085000
1	ObjOut	7	60_C_R_M_I_BP_P_O_D	0	1	0.017500
1	ObjOut	7	61_C_R_M_P_PB_B_P_S	0	1	0.050968
1	ObjOut	7	62_C_R_M_I_PB_B_S_D	0	1	0.035591
1	ObjOut	7	63_C_R_M_P_PB_P_B_D	0	1	0.037387
1	ObjOut	7	65_T_R_M_I_SP_S_S_S	1	1	0.055346
1	ObjOut	7	67_T_R_M_P_SP_P_S_S	1	1	0.037533
1	ObjOut	7	68_T_R_M_I_SP_P_P_D	1	1	0.022903
1	ObjOut	7	69_T_R_M_P_PS_S_P_S	1	1	0.024387
1	ObjOut	7	70_T_R_M_I_PS_S_S_D	1	1	0.020645
1	ObjOut	7	71_T_R_M_P_PS_P_S_D	1	1	0.014667
1	ObjOut	7	72_T_R_M_I_PS_P_P_S	1	1	0.037935
1	ObjOut	7	81_T_R_M_P_OB_B_O_S	1	1	0.074839
1	ObjOut	7	82_T_R_M_I_OB_B_B_D	1	1	0.002097
1	ObjOut	7	83_T_R_M_P_BO_O_B_S	1	1	0.001097
1	ObjOut	7	85_T_R_M_I_OB_O_O_S	1	1	-0.003613
1	ObjOut	7	86_T_R_M_P_OB_O_B_D	1	1	0.030387
1	ObjOut	7	87_T_R_M_I_BO_B_B_S	1	1	0.029290
1	ObjOut	7	88_T_R_M_P_BO_B_O_D	1	1	0.026742
1	ObjOut	8	49_C_R_M_I_SO_S_B_S	0	1	0.010806
1	ObjOut	8	50_C_R_M_P_SO_S_O_D	0	1	0.054032
1	ObjOut	8	53_C_R_M_P_OS_S_O_S	0	1	0.001935
1	ObjOut	8	56_C_R_M_I_OS_O_P_S	0	1	0.063452
