Participant 	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	6	28_C_H_M_P_BP_P_P_D	0	1	1335
1	ObjOut	6	29_C_H_M_I_PB_B_P_S	0	1	844
1	ObjOut	6	30_C_H_M_P_PB_B_B_D	0	1	826
1	ObjOut	6	31_C_H_M_I_PB_P_B_D	0	1	1343
1	ObjOut	6	32_C_H_M_P_PB_P_P_S	0	1	1363
1	ObjOut	6	73_T_H_M_I_SP_S_P_D	1	1	1330
1	ObjOut	6	74_T_H_M_I_SP_P_S_S	1	1	1308
1	ObjOut	6	79_T_H_M_I_PS_S_P_S	1	1	1325
1	ObjOut	6	80_T_H_M_I_PS_P_S_D	1	1	1303
1	ObjOut	6	91_T_H_M_I_BO_O_B_S	1	1	1251
1	ObjOut	6	92_T_H_M_I_BO_B_O_D	1	1	1330
1	ObjOut	6	93_T_H_M_I_OB_O_B_D	1	1	1327
1	ObjOut	7	17_C_H_M_P_SO_S_S_S	0	1	1326
1	ObjOut	7	18_C_H_M_I_SO_S_O_D	0	1	768
1	ObjOut	7	19_C_H_M_I_SO_O_S_S	0	1	1317
1	ObjOut	7	21_C_H_M_I_OS_S_O_S	0	1	1352
1	ObjOut	7	22_C_H_M_P_OS_S_S_D	0	1	803
1	ObjOut	7	23_C_H_M_I_OS_O_S_D	0	1	1302
1	ObjOut	7	24_C_H_M_P_OS_O_O_S	0	1	1320
1	ObjOut	7	26_C_H_M_I_BP_B_P_D	0	1	1317
1	ObjOut	7	27_C_H_M_I_BP_P_B_S	0	1	1315
1	ObjOut	7	28_C_H_M_P_BP_P_P_D	0	1	1334
1	ObjOut	7	29_C_H_M_I_PB_B_P_S	0	1	843
1	ObjOut	7	30_C_H_M_P_PB_B_B_D	0	1	825
1	ObjOut	7	31_C_H_M_I_PB_P_B_D	0	1	1343
1	ObjOut	7	32_C_H_M_P_PB_P_P_S	0	1	1358
1	ObjOut	7	73_T_H_M_I_SP_S_P_D	1	1	1331
1	ObjOut	7	74_T_H_M_I_SP_P_S_S	1	1	1310
