Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	5	72_T_R_M_I_PS_P_P_S	1	1	1312
1	ObjOut	5	81_T_R_M_P_OB_B_O_S	1	1	966
1	ObjOut	5	82_T_R_M_I_OB_B_B_D	1	1	700
1	ObjOut	5	83_T_R_M_P_BO_O_B_S	1	1	1337
1	ObjOut	5	85_T_R_M_I_OB_O_O_S	1	1	1314
1	ObjOut	5	86_T_R_M_P_OB_O_B_D	1	1	1329
1	ObjOut	5	87_T_R_M_I_BO_B_B_S	1	1	1337
1	ObjOut	5	88_T_R_M_P_BO_B_O_D	1	1	1303
1	ObjOut	6	49_C_R_M_I_SO_S_B_S	0	1	1338
1	ObjOut	6	50_C_R_M_P_SO_S_O_D	0	1	1304
1	ObjOut	6	53_C_R_M_P_OS_S_O_S	0	1	1320
1	ObjOut	6	56_C_R_M_I_OS_O_P_S	0	1	1328
1	ObjOut	6	58_C_R_M_P_BP_B_P_D	0	1	1245
1	ObjOut	6	59_C_R_M_P_BP_P_B_S	0	1	1331
1	ObjOut	6	60_C_R_M_I_BP_P_O_D	0	1	1350
1	ObjOut	6	61_C_R_M_P_PB_B_P_S	0	1	1360
1	ObjOut	6	62_C_R_M_I_PB_B_S_D	0	1	1252
1	ObjOut	6	63_C_R_M_P_PB_P_B_D	0	1	1272
1	ObjOut	6	65_T_R_M_I_SP_S_S_S	1	1	1061
1	ObjOut	6	67_T_R_M_P_SP_P_S_S	1	1	806
1	ObjOut	6	68_T_R_M_I_SP_P_P_D	1	1	1346
1	ObjOut	6	69_T_R_M_P_PS_S_P_S	1	1	1301
1	ObjOut	6	70_T_R_M_I_PS_S_S_D	1	1	1283
1	ObjOut	6	71_T_R_M_P_PS_P_S_D	1	1	1321
1	ObjOut	6	72_T_R_M_I_PS_P_P_S	1	1	1307
1	ObjOut	6	81_T_R_M_P_OB_B_O_S	1	1	961
1	ObjOut	6	82_T_R_M_I_OB_B_B_D	1	1	706
1	ObjOut	6	83_T_R_M_P_BO_O_B_S	1	1	1338
1	ObjOut	6	85_T_R_M_I_OB_O_O_S	1	1	1331
1	ObjOut	6	86_T_R_M_P_OB_O_B_D	1	1	1319
1	ObjOut	6	87_T_R_M_I_BO_B_B_S	1	1	1336
1	ObjOut	6	88_T_R_M_P_BO_B_O_D	1	1	1317
1	ObjOut	7	49_C_R_M_I_SO_S_B_S	0	1	1330
1	ObjOut	7	50_C_R_M_P_SO_S_O_D	0	1	1303
1	ObjOut	7	53_C_R_M_P_OS_S_O_S	0	1	1321
1	ObjOut	7	56_C_R_M_I_OS_O_P_S	0	1	1335
1	ObjOut	7	58_C_R_M_P_BP_B_P_D	0	1	1003
1	ObjOut	7	59_C_R_M_P_BP_P_B_S	0	1	1330
1	ObjOut	7	60_C_R_M_I_BP_P_O_D	0	1	1339
