Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	EyeGaze(meanX)
1	ObjOut	6	02_K_H_R_I_BO_B_O_D	0	1	1345
1	ObjOut	6	03_K_H_L_I_BO_O_B_S	0	1	938
1	ObjOut	6	04_K_H_L_P_BO_O_O_D	0	1	1049
1	ObjOut	6	05_K_H_L_I_OB_B_O_S	0	1	1335
1	ObjOut	6	06_K_H_L_P_OB_B_B_D	0	1	942
1	ObjOut	6	07_K_H_R_I_OB_O_B_D	0	1	1285
1	ObjOut	6	08_K_H_R_P_OB_O_O_S	0	1	923
1	ObjOut	6	09_K_H_R_P_SP_S_S_S	0	1	1331
1	ObjOut	6	10_K_H_R_I_SP_S_P_D	0	1	773
1	ObjOut	6	11_K_H_L_I_SP_P_S_S	0	1	887
1	ObjOut	6	12_K_H_L_P_SP_P_P_D	0	1	935
1	ObjOut	6	13_K_H_L_I_PS_S_P_S	0	1	919
1	ObjOut	6	14_K_H_L_P_PS_S_S_D	0	1	1317
1	ObjOut	6	15_K_H_R_I_PS_P_S_D	0	1	879
1	ObjOut	6	16_K_H_R_P_PS_P_P_S	0	1	1324
1	ObjOut	6	73_T_H_M_I_SP_S_P_D	1	1	1330
1	ObjOut	6	74_T_H_M_I_SP_P_S_S	1	1	1308
1	ObjOut	6	79_T_H_M_I_PS_S_P_S	1	1	1325
1	ObjOut	6	80_T_H_M_I_PS_P_S_D	1	1	1303
1	ObjOut	6	91_T_H_M_I_BO_O_B_S	1	1	1251
1	ObjOut	6	92_T_H_M_I_BO_B_O_D	1	1	1330
1	ObjOut	6	93_T_H_M_I_OB_O_B_D	1	1	1327
1	ObjOut	7	01_K_H_R_P_BO_B_B_S	0	1	823
1	ObjOut	7	02_K_H_R_I_BO_B_O_D	0	1	1345
1	ObjOut	7	03_K_H_L_I_BO_O_B_S	0	1	946
1	ObjOut	7	04_K_H_L_P_BO_O_O_D	0	1	1049
1	ObjOut	7	05_K_H_L_I_OB_B_O_S	0	1	1338
1	ObjOut	7	06_K_H_L_P_OB_B_B_D	0	1	951
1	ObjOut	7	07_K_H_R_I_OB_O_B_D	0	1	1284
1	ObjOut	7	08_K_H_R_P_OB_O_O_S	0	1	925
1	ObjOut	7	09_K_H_R_P_SP_S_S_S	0	1	1333
1	ObjOut	7	10_K_H_R_I_SP_S_P_D	0	1	771
1	ObjOut	7	11_K_H_L_I_SP_P_S_S	0	1	892
1	ObjOut	7	12_K_H_L_P_SP_P_P_D	0	1	933
1	ObjOut	7	13_K_H_L_I_PS_S_P_S	0	1	926
1	ObjOut	7	14_K_H_L_P_PS_S_S_D	0	1	1309
1	ObjOut	7	15_K_H_R_I_PS_P_S_D	0	1	878
1	ObjOut	7	16_K_H_R_P_PS_P_P_S	0	1	1333
1	ObjOut	7	73_T_H_M_I_SP_S_P_D	1	1	1331
1	ObjOut	7	74_T_H_M_I_SP_P_S_S	1	1	1310
1	ObjOut	7	79_T_H_M_I_PS_S_P_S	1	1	1327
1	ObjOut	7	80_T_H_M_I_PS_P_S_D	1	1	1293
1	ObjOut	7	91_T_H_M_I_BO_O_B_S	1	1	1252
1	ObjOut	7	92_T_H_M_I_BO_B_O_D	1	1	1318
1	ObjOut	7	93_T_H_M_I_OB_O_B_D	1	1	1323
1	ObjOut	8	01_K_H_R_P_BO_B_B_S	0	1	833
1	ObjOut	8	02_K_H_R_I_BO_B_O_D	0	1	1348
1	ObjOut	8	03_K_H_L_I_BO_O_B_S	0	1	940
1	ObjOut	8	04_K_H_L_P_BO_O_O_D	0	1	1048
1	ObjOut	8	05_K_H_L_I_OB_B_O_S	0	1	1346
1	ObjOut	8	06_K_H_L_P_OB_B_B_D	0	1	951
1	ObjOut	8	07_K_H_R_I_OB_O_B_D	0	1	1284
1	ObjOut	8	08_K_H_R_P_OB_O_O_S	0	1	927
1	ObjOut	8	09_K_H_R_P_SP_S_S_S	0	1	1328
1	ObjOut	8	10_K_H_R_I_SP_S_P_D	0	1	769
1	ObjOut	8	11_K_H_L_I_SP_P_S_S	0	1	889
1	ObjOut	8	12_K_H_L_P_SP_P_P_D	0	1	937
1	ObjOut	8	13_K_H_L_I_PS_S_P_S	0	1	922
1	ObjOut	8	14_K_H_L_P_PS_S_S_D	0	1	1265
1	ObjOut	8	15_K_H_R_I_PS_P_S_D	0	1	876
1	ObjOut	8	16_K_H_R_P_PS_P_P_S	0	1	1309
1	ObjOut	8	73_T_H_M_I_SP_S_P_D	1	1	1328
1	ObjOut	8	74_T_H_M_I_SP_P_S_S	1	1	1295
1	ObjOut	8	79_T_H_M_I_PS_S_P_S	1	1	1327
1	ObjOut	8	80_T_H_M_I_PS_P_S_D	1	1	1299
1	ObjOut	8	91_T_H_M_I_BO_O_B_S	1	1	1254
1	ObjOut	8	92_T_H_M_I_BO_B_O_D	1	1	1325
1	ObjOut	8	93_T_H_M_I_OB_O_B_D	1	1	1325
1	ObjOut	9	01_K_H_R_P_BO_B_B_S	0	1	862
1	ObjOut	9	02_K_H_R_I_BO_B_O_D	0	1	1342
1	ObjOut	9	03_K_H_L_I_BO_O_B_S	0	1	940
1	ObjOut	9	04_K_H_L_P_BO_O_O_D	0	1	1051
1	ObjOut	9	05_K_H_L_I_OB_B_O_S	0	1	1336
1	ObjOut	9	06_K_H_L_P_OB_B_B_D	0	1	950
1	ObjOut	9	07_K_H_R_I_OB_O_B_D	0	1	1290
1	ObjOut	9	08_K_H_R_P_OB_O_O_S	0	1	927
1	ObjOut	9	09_K_H_R_P_SP_S_S_S	0	1	1332
1	ObjOut	9	10_K_H_R_I_SP_S_P_D	0	1	769
1	ObjOut	9	11_K_H_L_I_SP_P_S_S	0	1	891
1	ObjOut	9	12_K_H_L_P_SP_P_P_D	0	1	940
1	ObjOut	9	13_K_H_L_I_PS_S_P_S	0	1	922
1	ObjOut	9	14_K_H_L_P_PS_S_S_D	0	1	1065
1	ObjOut	9	15_K_H_R_I_PS_P_S_D	0	1	878
1	ObjOut	9	16_K_H_R_P_PS_P_P_S	0	1	1328
1	ObjOut	9	73_T_H_M_I_SP_S_P_D	1	1	1333
1	ObjOut	9	74_T_H_M_I_SP_P_S_S	1	1	1321
1	ObjOut	9	79_T_H_M_I_PS_S_P_S	1	1	1327
1	ObjOut	9	80_T_H_M_I_PS_P_S_D	1	1	1297
1	ObjOut	9	91_T_H_M_I_BO_O_B_S	1	1	1255
1	ObjOut	9	92_T_H_M_I_BO_B_O_D	1	1	1309
1	ObjOut	9	93_T_H_M_I_OB_O_B_D	1	1	1323
1	ObjOut	10	02_K_H_R_I_BO_B_O_D	0	1	1340
1	ObjOut	10	03_K_H_L_I_BO_O_B_S	0	1	942
1	ObjOut	10	04_K_H_L_P_BO_O_O_D	0	1	1056
1	ObjOut	10	05_K_H_L_I_OB_B_O_S	0	1	1340
1	ObjOut	10	06_K_H_L_P_OB_B_B_D	0	1	951
